,N,graph,p_Bd,r,abs_time,fix_prob
0,3,42570a,0.0,0.25,2.9999999999999996,0.19999999999999996
1,3,42570a,0.1,0.25,3.0594587014443966,0.17866124433225813
2,3,42570a,0.2,0.25,3.12152186257808,0.1589627105811092
3,3,42570a,0.30000000000000004,0.25,3.186770428015565,0.14072632944228278
4,3,42570a,0.4,0.25,3.2558685446009386,0.12378716744913913
5,3,42570a,0.5,0.25,3.3295880149812724,0.10799001248439448
6,3,42570a,0.6000000000000001,0.25,3.4088397790055254,0.09318600368324127
7,3,42570a,0.7000000000000001,0.25,3.494715254772045,0.07922911079560395
8,3,42570a,0.8,0.25,3.588541666666666,0.06597222222222217
9,3,42570a,0.9,0.25,3.691957511380878,0.05326251896813352
10,3,42570a,1.0,0.25,3.8070175438596485,0.0409356725146199
11,3,42570a,0.0,0.4,3.0,0.23809523809523814
12,3,42570a,0.1,0.4,3.0735044548154433,0.2213124027718852
13,3,42570a,0.2,0.4,3.1529462738301555,0.20540150202195262
14,3,42570a,0.30000000000000004,0.4,3.2393475366178435,0.19023524189968932
15,3,42570a,0.4,0.4,3.333941605839416,0.17568647897115053
16,3,42570a,0.5,0.4,3.438235294117647,0.161624649859944
17,3,42570a,0.6000000000000001,0.4,3.554093567251463,0.14791144527986635
18,3,42570a,0.7000000000000001,0.4,3.6838570704510913,0.13439528877947535
19,3,42570a,0.8,0.4,3.8305084745762716,0.12090395480226
20,3,42570a,0.9,0.4,3.997913188647745,0.10723427935447956
21,3,42570a,1.0,0.4,4.191176470588235,0.09313725490196086
22,3,42570a,0.0,0.55,3.0,0.26881720430107525
23,3,42570a,0.1,0.55,3.0841901927704605,0.2566843633967182
24,3,42570a,0.2,0.55,3.176649619752625,0.24500104079332305
25,3,42570a,0.30000000000000004,0.55,3.278797440242377,0.23367353148269285
26,3,42570a,0.4,0.55,3.3923814362395355,0.222603114386646
27,3,42570a,0.5,0.55,3.519580983078163,0.21168239279803838
28,3,42570a,0.6000000000000001,0.55,3.6631510109500947,0.2007904798976655
29,3,42570a,0.7000000000000001,0.55,3.826627403543536,0.1897864028894816
30,3,42570a,0.8,0.55,4.014626818469323,0.17849972455163132
31,3,42570a,0.9,0.55,4.233295823486636,0.16671672422779305
32,3,42570a,1.0,0.55,4.491004008576493,0.15415928653553354
33,3,42570a,0.0,0.7,3.0,0.2941176470588235
34,3,42570a,0.1,0.7,3.092642706800234,0.286388608838905
35,3,42570a,0.2,0.7,3.195160870131561,0.27887565863912317
36,3,42570a,0.30000000000000004,0.7,3.309275230745952,0.2715171527833406
37,3,42570a,0.4,0.7,3.4371253311027465,0.26424609715627495
38,3,42570a,0.5,0.7,3.5814058956916104,0.2569872393401806
39,3,42570a,0.6000000000000001,0.7,3.745560109289617,0.24965311261116466
40,3,42570a,0.7000000000000001,0.7,3.9340595758265002,0.24213845630828298
41,3,42570a,0.8,0.7,4.152819993245525,0.234312069981657
42,3,42570a,0.9,0.7,4.409836065573771,0.22600450016072005
43,3,42570a,1.0,0.7,4.716183574879227,0.21698872785829304
44,3,42570a,0.0,0.85,2.9999999999999987,0.31531531531531526
45,3,42570a,0.1,0.85,3.0995271614559363,0.311635974974655
46,3,42570a,0.2,0.85,3.210021792165561,0.3080391609448101
47,3,42570a,0.30000000000000004,0.85,3.3334136766136684,0.30449491719895644
48,3,42570a,0.4,0.85,3.4721123887499465,0.3009701428756099
49,3,42570a,0.5,0.85,3.6291664295874817,0.2974270372790997
50,3,42570a,0.6000000000000001,0.85,3.8084901827254876,0.29382095394353386
51,3,42570a,0.7000000000000001,0.85,4.015194987688769,0.2900973359175712
52,3,42570a,0.8,0.85,4.256084674120532,0.2861871893709906
