N,graph,r,p_Bd,fix_prob,fix_time
50,complete,0.99,0.0,0.023,2567.0
50,complete,0.99,0.1,0.013,2400.769230769231
50,complete,0.99,0.2,0.016,2677.5
50,complete,0.99,0.30000000000000004,0.016,1888.125
50,complete,0.99,0.4,0.017,2371.0
50,complete,0.99,0.5,0.015,2496.733333333333
50,complete,0.99,0.6000000000000001,0.014,2162.285714285714
50,complete,0.99,0.7000000000000001,0.016,2529.625
50,complete,0.99,0.8,0.016,1879.5625
50,complete,0.99,0.9,0.019,2451.1052631578946
50,complete,0.99,1.0,0.02,2400.1
50,complete,0.992,0.0,0.012,2082.0
50,complete,0.992,0.1,0.029,1895.6896551724137
50,complete,0.992,0.2,0.016,2270.375
50,complete,0.992,0.30000000000000004,0.021,2318.904761904762
50,complete,0.992,0.4,0.026,2984.6923076923076
50,complete,0.992,0.5,0.015,2191.4
50,complete,0.992,0.6000000000000001,0.018,2161.277777777778
50,complete,0.992,0.7000000000000001,0.01,2475.1
50,complete,0.992,0.8,0.014,2092.9285714285716
50,complete,0.992,0.9,0.018,2854.8333333333335
50,complete,0.992,1.0,0.015,2178.3333333333335
50,complete,0.994,0.0,0.011,2254.6363636363635
50,complete,0.994,0.1,0.026,2276.153846153846
50,complete,0.994,0.2,0.021,2168.285714285714
50,complete,0.994,0.30000000000000004,0.018,2120.0555555555557
50,complete,0.994,0.4,0.01,2982.7
50,complete,0.994,0.5,0.025,2734.28
50,complete,0.994,0.6000000000000001,0.018,1838.7777777777778
50,complete,0.994,0.7000000000000001,0.016,1958.375
50,complete,0.994,0.8,0.009,1743.2222222222222
50,complete,0.994,0.9,0.018,2514.9444444444443
50,complete,0.994,1.0,0.021,2081.2380952380954
50,complete,0.996,0.0,0.02,2350.4
50,complete,0.996,0.1,0.022,2400.318181818182
50,complete,0.996,0.2,0.019,2214.4736842105262
50,complete,0.996,0.30000000000000004,0.014,2989.0714285714284
50,complete,0.996,0.4,0.023,2466.5652173913045
50,complete,0.996,0.5,0.018,2489.277777777778
50,complete,0.996,0.6000000000000001,0.019,2345.315789473684
50,complete,0.996,0.7000000000000001,0.016,2483.625
50,complete,0.996,0.8,0.026,2237.4615384615386
50,complete,0.996,0.9,0.014,2071.3571428571427
50,complete,0.996,1.0,0.021,2152.2380952380954
50,complete,0.998,0.0,0.022,2811.409090909091
50,complete,0.998,0.1,0.018,2435.1666666666665
50,complete,0.998,0.2,0.014,2864.9285714285716
50,complete,0.998,0.30000000000000004,0.022,2706.0
50,complete,0.998,0.4,0.021,2507.8571428571427
50,complete,0.998,0.5,0.014,2564.1428571428573
50,complete,0.998,0.6000000000000001,0.018,2987.0
50,complete,0.998,0.7000000000000001,0.017,2626.294117647059
50,complete,0.998,0.8,0.02,1999.35
50,complete,0.998,0.9,0.014,2793.6428571428573
50,complete,0.998,1.0,0.013,2787.153846153846
50,complete,1.0,0.0,0.02,2506.5
50,complete,1.0,0.1,0.022,2195.909090909091
50,complete,1.0,0.2,0.02,2142.9
50,complete,1.0,0.30000000000000004,0.023,2715.3478260869565
50,complete,1.0,0.4,0.024,2842.25
50,complete,1.0,0.5,0.022,2123.2272727272725
50,complete,1.0,0.6000000000000001,0.031,2422.7419354838707
50,complete,1.0,0.7000000000000001,0.018,1935.111111111111
50,complete,1.0,0.8,0.019,2716.5263157894738
50,complete,1.0,0.9,0.02,2750.95
50,complete,1.0,1.0,0.022,2892.0
50,complete,1.002,0.0,0.021,2180.6666666666665
50,complete,1.002,0.1,0.025,2253.92
50,complete,1.002,0.2,0.02,1856.55
50,complete,1.002,0.30000000000000004,0.023,2175.9565217391305
50,complete,1.002,0.4,0.017,2016.8823529411766
50,complete,1.002,0.5,0.019,2450.0
50,complete,1.002,0.6000000000000001,0.022,2371.5454545454545
50,complete,1.002,0.7000000000000001,0.019,2505.5263157894738
50,complete,1.002,0.8,0.011,1922.7272727272727
50,complete,1.002,0.9,0.02,2497.0
50,complete,1.002,1.0,0.017,1953.8823529411766
50,complete,1.004,0.0,0.019,2531.842105263158
50,complete,1.004,0.1,0.023,1935.1739130434783
50,complete,1.004,0.2,0.023,2117.1304347826085
50,complete,1.004,0.30000000000000004,0.022,2097.090909090909
50,complete,1.004,0.4,0.017,2177.6470588235293
50,complete,1.004,0.5,0.021,2489.7619047619046
50,complete,1.004,0.6000000000000001,0.016,2741.1875
50,complete,1.004,0.7000000000000001,0.022,1875.4545454545455
50,complete,1.004,0.8,0.024,2242.4583333333335
50,complete,1.004,0.9,0.029,2536.310344827586
50,complete,1.004,1.0,0.026,2543.6923076923076
50,complete,1.006,0.0,0.021,2477.7619047619046
50,complete,1.006,0.1,0.015,2757.6666666666665
50,complete,1.006,0.2,0.016,1698.5
50,complete,1.006,0.30000000000000004,0.024,2833.5416666666665
50,complete,1.006,0.4,0.023,2517.478260869565
50,complete,1.006,0.5,0.019,2561.2105263157896
50,complete,1.006,0.6000000000000001,0.026,2779.3846153846152
